
--- [START 2019-07-16_01-15-09] ----------------------------------------------------------------

	@common.py:  
	set random seed
		SEED = 1563210910
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 9.0.176
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1563210910
	PROJECT_PATH = /root/share/project/kaggle/2019/chest/build/single_mask_05
	__file__     = /root/share/project/kaggle/2019/chest/build/single_mask_05/unet_0/train2.py
	out_dir      = /root/share/project/kaggle/2019/chest/result/unet-256-fold2-00

** dataset setting **
batch_size = 7
train_dataset : 
	mode   = train
	split  = train2_10075.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 2079
	num_component[0] = 7996
	len    = 10075

valid_dataset : 
	mode   = train
	split  = valid2_600.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 300
	num_component[0] = 300
	len    = 600


** net setting **
	initial_checkpoint = None
<class 'model.UNet'>

optimizer
  SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
schduler
  NullScheduler
lr=0.01000 

** start training here! **
   batch_size=7,  iter_accum=4
                      |----------- VALID -----------|-------- TRAIN/BATCH -------------------------
rate     iter   epoch |  loss    dice   neg   pos   |   loss    dice  neg   pos   |  time          
---------------------------------------------------------------------------------------------------
0.01000   77.5   53.8 |  0.303   0.503  0.58  0.43  |  0.043   0.525  0.55  0.50  | 10 hr 29 min
0.01000   78.0   54.2 |  0.303   0.503  0.58  0.43  |  0.048   0.532  0.57  0.49  | 10 hr 33 min
0.01000   78.5   54.5 |  0.303   0.503  0.58  0.43  |  0.045   0.519  0.54  0.50  | 10 hr 37 min
0.01000   79.0   54.9 |  0.303   0.503  0.58  0.43  |  0.041   0.591  0.67  0.51  | 10 hr 41 min
0.01000   79.5   55.2 |  0.303   0.503  0.58  0.43  |  0.041   0.537  0.57  0.51  | 10 hr 45 min
0.01000   80.0*  55.6 |  0.292   0.511  0.58  0.45  |  0.042   0.573  0.59  0.55  | 10 hr 49 min
0.01000   80.5   55.9 |  0.292   0.511  0.58  0.45  |  0.042   0.503  0.48  0.53  | 10 hr 53 min
0.01000   81.0   56.3 |  0.292   0.511  0.58  0.45  |  0.045   0.498  0.47  0.52  | 10 hr 57 min
0.01000   81.5   56.6 |  0.292   0.511  0.58  0.45  |  0.040   0.572  0.61  0.53  | 11 hr 01 min
0.01000   82.0   57.0 |  0.292   0.511  0.58  0.45  |  0.045   0.494  0.49  0.50  | 11 hr 05 min
0.01000   82.5   57.3 |  0.331   0.511  0.59  0.43  |  0.043   0.555  0.57  0.54  | 11 hr 09 min
0.01000   83.0   57.7 |  0.331   0.511  0.59  0.43  |  0.043   0.579  0.61  0.55  | 11 hr 13 min
0.01000   83.5   58.0 |  0.331   0.511  0.59  0.43  |  0.051   0.357  0.25  0.46  | 11 hr 17 min
0.01000   84.0   58.4 |  0.331   0.511  0.59  0.43  |  0.050   0.450  0.41  0.49  | 11 hr 21 min
0.01000   84.5   58.7 |  0.331   0.511  0.59  0.43  |  0.043   0.529  0.55  0.50  | 11 hr 25 min
0.01000   85.0*  59.1 |  0.324   0.542  0.65  0.43  |  0.040   0.583  0.59  0.57  | 11 hr 29 min
0.01000   85.5   59.4 |  0.324   0.542  0.65  0.43  |  0.040   0.629  0.69  0.57  | 11 hr 33 min
